who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,strategies,best-strategy,attend?,prediction
10,9.9,186,12,-8,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.900031788300703 -0.13073276844332682 -0.108311776787414 -0.11606608823793518 0.06028436950271154 -0.9925153890268952] [-0.25159357281452865 0.8682842701287119 0.11386145743844245 0.18176518029597521 -0.17692880209792672 0.3752167860942164] [-0.5445355970426025 -0.37596838076976646 0.995398881850682 0.4160360568102086 0.29978729117393255 0.21666898640409094] [0.719858601691572 0.43931124034340274 0.9891697425249217 -0.35384530538649916 -0.013281002596547742 0.9117478025741212] [0.764115980043911 0.23059589312842688 -0.6534198874177233 -0.7524693701297276 -0.273644827022123 0.01301461061086484] [0.9409872396506431 -0.09096327447301511 0.28353361286844336 -0.6872347653362205 -0.4248194796920446 -0.2502644354024881] [0.3788489595337494 -0.7304554254933089 0.32477566042115935 0.43694386009065966 0.946439937317662 0.016221596018961115] [0.9331043054600665 -0.7855030340133993 -0.5696655157805635 0.7494415942993558 0.8161933722132579 -0.10893462086843719] [-0.9497114844599204 -0.5809302377444079 -0.4735638059707543 -0.22644970704419087 0.4790902469257028 0.6071254844532052] [0.3393504864313839 0.6596307447135201 0.0415521714119127 0.6420294992910334 -0.9778748433400375 -0.08643997576159324]],[0.9409872396506431 -0.09096327447301511 0.28353361286844336 -0.6872347653362205 -0.4248194796920446 -0.2502644354024881],0,-25.495115818814412
11,9.9,267,-23,-7,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.2976513167230934 0.3384620988849518 -0.7541381515426491 -0.6054346437365008 -0.8274131526671464 0.11437421709746709] [-0.4358864686577939 0.3113618419005262 -0.2866802233237029 -0.4936956588092565 -0.8507780702579046 -0.9783552074258188] [-0.7135958153884499 -0.18229441628778464 -0.4627815071017647 -0.12868695484444936 0.3706461187235963 -0.2959963290599794] [-0.06693894444534476 -0.37755295802816824 0.991543177980186 0.13112706046894318 0.7279975008524835 0.8064285780620666] [-0.8450264093769899 -0.3369687300780069 0.42683723413601937 -0.30261560098398976 -0.06479314670283753 0.6843677110528428] [0.6050327872691899 -0.40202290187612455 0.5451425530820118 -0.8492493796230818 0.7037509242713047 0.09777711470253547] [-0.7899434304284949 -0.3487389721778713 0.8954961747195458 -0.5942831009487874 0.0778825117532651 -0.7300917752542595] [-0.25222358870476724 0.2845947950405705 0.9789469784117528 0.8484654706054031 0.007095943720801801 -0.9069608272564786] [-0.6055247408570477 -0.884072533600885 -0.29816595718833283 0.763528440274426 -0.050882655687432 -0.9699013670100944] [-0.7383426444976975 0.700833692016029 -0.6652262799886446 -0.9600821483790123 -0.9370258783777132 0.7384074968108922]],[0.6050327872691899 -0.40202290187612455 0.5451425530820118 -0.8492493796230818 0.7037509242713047 0.09777711470253547],0,-105.11352824850326
12,9.9,319,23,-12,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.34467208721774334 -0.6408824641282282 -0.9115383851353129 0.44993335466163953 -0.050922402025920244 -0.9623926475607192] [0.7928629892177443 -0.895263930427689 -0.4402931166791968 0.020255059067266323 0.8969291877898502 -0.5433049941897026] [0.6324256804964419 0.2898845701301722 0.10199731591580141 0.6230646088058498 -0.8552883163632967 0.9734757463569454] [-0.8233940664656323 -0.19035598071794357 0.17528328901193713 -0.7068007971654671 0.9395644021720042 -0.5437762110913689] [0.6753948411957928 -0.7530925522293723 0.07353666203513165 -0.269186226458497 0.5132526344996509 0.2444798742583949] [0.9700457416593966 -0.29119575263267605 0.09449756339167004 0.8267038127031905 0.7447296126114651 -0.6725076746329752] [0.4548872354798503 0.2581777580747213 -0.12132852944555816 -0.014218726706372031 -0.7064866705284669 0.1645733666184479] [0.11258685457303153 0.927995171472179 -0.11708793920937755 0.13848372064780468 -0.49037661151677625 0.0695819858573079] [-0.8340376153147611 0.9671408147062397 -0.19377178743845347 -0.20954659149766863 0.0856707596309969 0.7521443222098019] [-0.04761024077510778 -0.8749260972199979 0.4020635154016181 0.6860924196686939 0.0845285009326715 0.7519088128133491]],[0.6753948411957928 -0.7530925522293723 0.07353666203513165 -0.269186226458497 0.5132526344996509 0.2444798742583949],0,56.67752435889879
13,9.9,299,16,-6,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.9291340429756323 -0.3733346402279578 0.7390722337336364 0.6605017646035225 -0.9091639586805309 0.5789815420120652] [0.04181570685269431 0.6903153125342814 -0.3582958293963796 -0.47311167859227243 -0.9890776225116547 -0.19899579730974937] [0.15456413651563983 -0.12011658675893333 -0.034712599769164854 0.2376857098508296 0.07102323155886481 0.19066031526660532] [-0.732603402679529 0.9649207408681935 -0.914216236179276 -0.34319895567918723 0.6389780011343296 0.7767904630430658] [0.9259964353569932 0.940914706127413 -0.3514730207338084 0.7455869739837655 -0.8513996868849927 0.35521715788959596] [0.9542815154782875 0.7810087923416429 0.8834651283209101 -0.4186203031830793 0.723542085802638 -0.14141361326082902] [0.3939003241438439 0.3090260608655837 0.0870915930087488 -0.475758733843231 -0.6541504840380075 0.9642283426084544] [0.9974025328760312 -0.2000586611776416 -0.4722874254493532 -0.10179359477806327 0.984941205794617 -0.7330645178823816] [0.30847590620630005 -0.7794389209816444 -0.6761282735876191 0.892256653055451 -0.423434901017987 -0.5850645375475991] [-0.17341087073149453 0.1078187541199549 0.8344360841951484 -0.31898225740436703 0.24334303805609858 -0.7153544684744364]],[0.3939003241438439 0.3090260608655837 0.0870915930087488 -0.475758733843231 -0.6541504840380075 0.9642283426084544],0,-54.89493178329217
14,9.9,247,-24,10,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.5639090910175566 0.2852329669411404 0.8181517235431999 0.21851041407962501 0.6052564086399321 -0.15891777704263532] [0.6954055981121658 0.04257626599763786 0.4892968687460053 0.5559101128647013 0.07446037980283937 0.5913531174525677] [0.768832145986792 0.6965978021245605 -0.9292122734554198 -0.4585449881753072 0.5035317531516335 0.9278328685338266] [-0.31744250385978434 0.8248088626278003 -0.13300182988923548 -0.8283326963735691 -0.6462727482889485 0.4837644239375045] [0.3274130191142073 0.42419903949085236 -0.7494509647421277 -0.5621353765366872 -0.5153627293886147 -0.39706004684851925] [-0.7436803674880941 -0.3535868148050396 0.8137973226819006 -0.6773341425976105 0.6462239547838857 0.4456721096461205] [-0.49095811917580834 0.8034937092976779 0.6124062889230169 -0.5379806695299616 0.223166643028186 -0.6844736387615546] [0.02664498039915908 -0.48092475837249316 -0.5593526943568967 0.6293001882200076 -0.8647995749198003 -0.8432970224994523] [-0.9381210155961215 -0.33990834106569245 0.23944989183035204 -0.18846776150103883 0.769994697171624 0.6081988764873836] [-0.12878194703334866 0.48147500424184053 0.9956591741067986 -0.5675473380356528 -0.030136827332427396 0.5210350846395693]],[-0.12878194703334866 0.48147500424184053 0.9956591741067986 -0.5675473380356528 -0.030136827332427396 0.5210350846395693],0,24.57532200048531
15,9.9,339,-17,-19,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.7989469436855949 -0.2475522340368752 0.052270515593545896 0.8855014788290094 -0.4542038397628638 -0.2128317071600554] [-0.6047820505339736 0.03130054399162652 -0.43484381711902365 -0.8352508347128864 -0.35760343638056313 -0.2575775443487396] [-0.023165941276057644 0.7124182751340886 0.3139184120198739 -0.7348174691493308 -0.220452095898092 -0.019851912656613235] [-0.9670384905720821 -0.2767724096959938 -0.9664184746395459 0.9379502854434287 0.2778604016888766 0.13289874385298006] [-0.2984661635272243 -0.6498553731723409 0.7842948378398105 0.01711064692360842 -0.3565706820209016 -0.9931010028127896] [-0.00848297054363667 -0.18591633893571768 0.2818672334206054 -0.8585201372422961 0.6947503685975089 -0.908808020052106] [-0.517290248450623 -0.9585376874711409 0.8666553631416964 0.117971989851541 -0.26930182229187727 -0.1077474518628676] [-0.8399155154886251 -0.8142301082602248 -0.8569645970255333 0.10866971201679765 -0.9442168796315116 0.3955402011750402] [0.36333856856743996 -0.004285810671579959 -0.11436024812300216 0.07098091054214817 -0.8906504704710074 0.10546907400614702] [-0.5333832170383535 0.7007478093071795 -0.4056778363743818 0.97301734075583 0.7863845077705436 -0.008540950228555388]],[-0.5333832170383535 0.7007478093071795 -0.4056778363743818 0.97301734075583 0.7863845077705436 -0.008540950228555388],0,52.99210072559609
16,9.9,53,-15,0,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.9528812169792553 0.3832688786100229 -0.7962662978282713 -0.6480643615780735 0.2305831936449727 -0.5511496004069689] [-0.7850310185116718 0.0838745248818824 -0.5117613279269553 -0.8081366129242038 0.8479416102538968 -0.36131567718818136] [0.22291966599122714 0.9258028990001321 -0.6543430744481757 -0.46613392296096845 0.30887476973015193 -0.7714555735867679] [0.4511867579870845 -0.1744569668779119 0.6969671146621528 -0.08036136200031296 -0.9046483490883299 0.6030362322512401] [0.30360235341695474 -0.34072997427652085 -0.3097294465860827 0.6850424882007149 0.29843714467722937 0.779720859047802] [-0.29001918719142905 -0.7901452542071725 0.8177721313272304 -0.5464053794520556 -0.4858940494464483 -0.9061560130374724] [0.14018495032271305 0.8445875820613868 -0.9435088461567185 0.274875795915815 0.0817822487307005 -0.9350596825401938] [0.637641328612303 0.8818871773117882 -0.8750696675082323 0.2203963820790955 -0.15065888282325446 -0.5766513421093313] [-0.5949486316435986 -0.30926765521332333 -0.20635933787437688 -0.4308463506599478 -0.8745448503427782 0.7594695475387934] [-0.5221832351017233 -0.3349849325551235 -0.1352539799992245 0.7346617004517684 -0.9870129921619792 -0.42426759457914964]],[0.4511867579870845 -0.1744569668779119 0.6969671146621528 -0.08036136200031296 -0.9046483490883299 0.6030362322512401],0,-160.44831114917602
17,9.9,37,-4,-5,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[0.1786167183266576 -0.5698088867647477 -0.18883481583098516 -0.9916775269074252 0.5377391814760517 0.38659879424428323] [0.3506050620030434 0.6334828338427527 -0.2231007204760309 0.6483184150061818 -0.5457283370988681 0.7298519238768806] [-0.6716693553611206 0.9651423471781568 -0.7611150527957802 -0.5708060800404082 -0.9612941151011856 -0.20948005631756583] [-0.4173682808350603 -0.5801571292518357 0.2760628348683414 0.7836211199571479 -0.10364377979516726 0.664120333113644] [0.3746256653295006 0.9213546987916346 -0.9981845931544477 0.818995474090009 -0.5232707793049969 -0.7682111701994487] [0.8737785372357902 -0.26421614572443897 0.8210642521281959 -0.25193705468835725 -0.724395980970957 -0.4286092072663974] [-0.763064375220083 0.9482608027799382 0.5278362303797457 -0.80731079446358 -0.5193289399229142 0.34496514913160325] [-0.9953734525554365 -0.7566213818451415 0.7305340261955879 -0.4401915411541302 -0.5388889532757868 -0.020029484024289612] [0.836014871653612 0.6744371220878136 0.7105299896918094 0.694422040879145 -0.1271197593690323 -0.0348882708189473] [-0.003641106724113108 -0.16586104757560816 -0.7376722940867673 -0.3722992868782242 0.30342143762625007 -0.5152571197211806]],[0.3506050620030434 0.6334828338427527 -0.2231007204760309 0.6483184150061818 -0.5457283370988681 0.7298519238768806],0,-28.335857870150225
18,9.9,162,-6,-2,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.0630407890910345 0.38932256447039726 -0.041546382417362304 0.7733580453809001 0.6485983648561318 0.6236520401015333] [0.04114657502045027 0.41191497006253863 0.7022515375217622 -0.23069617206982485 0.555396291474918 0.37672680378875745] [-0.8278544259487108 -0.6144823207450127 0.061347853142508235 0.7750346502871663 -0.7167883518462084 0.8477266827362475] [0.8588976031478845 0.008642382218148281 -0.13096637346330198 0.5116952129786256 0.2912899243337024 -0.650168643110913] [-0.27470310942780984 0.9429693866280524 -0.8258063498692811 0.10519135218777098 0.7458943104558953 -0.5763810760389707] [-0.8225941315698593 0.23529266320491815 0.8166917559510851 -0.7139805100527907 -0.5785622326266344 -0.7258404093066517] [0.20205548971514986 -0.001671859658674446 0.7800525021583844 0.41402214625527867 0.010305190241512552 -0.02935396371161314] [-0.43445833854926486 -0.45063545693757545 -0.5125597379982954 0.7148619974135464 0.27772231959157323 0.3705584682163261] [-0.413712959796974 -0.3550714488767641 0.18342594138712598 0.22700121106182314 0.06184452395206819 -0.1413735601590913] [-0.007814571739336973 0.5715585642940642 -0.6580282761242522 0.06616157043617066 -0.020612084962555954 0.9143741172959854]],[0.04114657502045027 0.41191497006253863 0.7022515375217622 -0.23069617206982485 0.555396291474918 0.37672680378875745],0,81.8419372323545
19,9.9,127,-10,-9,"""bike""","""""",9.9,{all-turtles},false,2,1,"""up""",[[-0.7586655189148126 0.804490497556889 -0.8020119243145167 -0.1414019392308692 -0.022291330876959226 0.020239830981033435] [0.7948185648241006 0.1976008503590596 -0.5516888588543067 0.2939148839004986 -0.7913297046449681 -0.35869323426091304] [-0.007138386851447187 -0.14875591305748692 0.04701169013232076 0.7305899298388552 -0.5890394111051491 -0.03996450600727974] [-0.01943423915568565 0.9484967386550285 -0.9154127680592841 -0.8144561120166647 -0.565334260614716 -0.2750159130075782] [0.23428438792588802 -0.4902164437633465 -0.36699237603831514 -0.2291493916006795 -0.21234111387237053 -0.06257449795531289] [-0.3655503512040279 0.5292150313851269 -0.48884834194714477 0.5094305056945223 0.725117380578628 -0.8372619730652775] [0.9936275495492837 -0.4871087165122936 0.027488809726570196 0.8733040784895627 0.07868289146238805 0.06637989054047422] [-0.46596805511848216 -0.514606222047405 -0.8110315578602163 0.11504341354604808 0.7639361050567661 0.4702787659862977] [0.8284892637145345 -0.4853116437789904 0.3895293353083833 0.7264387685789337 -0.1968427928704608 -0.35005766153851225] [0.17021412279425285 0.05359467125364592 -0.7808944030580696 0.6642933298980758 -0.11402897017877844 -0.8656475499866929]],[0.7948185648241006 0.1976008503590596 -0.5516888588543067 0.2939148839004986 -0.7913297046449681 -0.35869323426091304],0,-43.77241728339984
